id,table,abbreviation,language,version,info_text,info_url,publisher,copyright,copyright_info
1,t_asv,ASV,english,American Standard,,http://en.wikipedia.org/wiki/American_Standard_Version,,Public Domain,
2,t_bbe,BBE,english,Bible in Basic English,,http://en.wikipedia.org/wiki/Bible_in_Basic_English,,Public Domain,
3,t_dby,DARBY,english,Darby English Bible,,http://en.wikipedia.org/wiki/Darby_Bible,,Public Domain,
4,t_kjv,KJV,english,King James Version,,http://en.wikipedia.org/wiki/King_James_Version,,Public Domain,
5,t_wbt,WBT,english,Webster's Bible,,http://en.wikipedia.org/wiki/Webster%27s_Revision,,Public Domain,
6,t_web,WEB,english,World English Bible,,http://en.wikipedia.org/wiki/World_English_Bible,,Public Domain,
7,t_ylt,YLT,english,Young's Literal Translation,,http://en.wikipedia.org/wiki/Young%27s_Literal_Translation,,Public Domain,
8,t_wsg,WSG,old english, West-Saxon Gospels (1175),,https://studybible.info/version/WestSaxon1175/,,Public Domain,
9,t_wyc,WYC,middle english,John Wycliffe's Translation,,http://wesley.nnu.edu/fileadmin/imported_site/biblical_studies/wycliffe/,,Public Domain,
10,t_alf,ALF,old english,Aelfric's Old Testament,,https://helsinkicorpus.arts.gla.ac.uk/browse.py?fs=100&format=html&toc=author&pb=true&params=false&pln=true&highlight=&text=aelfold,,Public Domain,